threshold,coverage,mse,k,temperature
0.7014666378498083,0.15077605321507762,52.88169338111537,4,0.05
0.7760328650474548,0.12527716186252771,52.882917094403844,4,0.05
0.8645494401454925,0.1008869179600887,52.88528793900786,4,0.05
0.5948342710733414,0.17516629711751663,52.897692682365864,4,0.05
0.4740041851997378,0.2006651884700665,52.899912187061304,4,0.05
0.3146858513355255,0.25055432372505543,52.900542098890725,4,0.05
0.3897794023156165,0.22505543237250555,52.90187754716483,4,0.05
0.23675177097320652,0.2749445676274945,52.904636864945445,4,0.05
0.1908867090940476,0.3004434589800443,52.90864358568428,4,0.05
1.8027849495410921,0.050997782705099776,52.910451312390755,4,0.05
0.15840445682406426,0.32483370288248337,52.913330424742206,4,0.05
0.11205138042569154,0.35033259423503327,52.91502306719064,4,0.05
1.1776476740837136,0.07538802660753881,52.91645743938004,4,0.05
0.07662328891456127,0.37472283813747226,52.920227737957646,4,0.05
0.040423636138439314,0.40022172949002216,52.92554929972788,4,0.05
-0.0019326463341711837,0.4246119733924612,52.92889494138748,4,0.05
-0.0431432612240314,0.4501108647450111,52.932962088406235,4,0.05
-0.08112612590193737,0.4745011086474501,52.93724279710067,4,0.05
-0.11621265858411789,0.5,52.94094004113663,4,0.05
-0.23287729918956757,0.549889135254989,52.94718561898971,4,0.05
-0.18336306288838383,0.5254988913525499,52.948174259369445,4,0.05
-0.26929076239466637,0.5753880266075388,52.95250224575469,4,0.05
-0.3193910837173461,0.5997782705099778,52.95411168255234,4,0.05
-0.3844775892794132,0.6252771618625277,52.959461655037906,4,0.05
-0.45191398262977595,0.6496674057649667,52.96407668668514,4,0.05
-0.5278140366077423,0.6751662971175166,52.96451259308275,4,0.05
-0.6624362975358962,0.7250554323725056,52.97468583190809,4,0.05
-0.601945811510086,0.6995565410199557,52.97656276355441,4,0.05
-0.743248924612999,0.7494456762749445,52.97909600322096,4,0.05
-0.8379402026534081,0.7749445676274944,52.98491402813666,4,0.05
-0.9675535321235654,0.7993348115299335,52.989983202016916,4,0.05
-1.0512134701013565,0.8248337028824834,52.997451530608075,4,0.05
-1.1236814498901366,0.8492239467849224,53.00250752397674,4,0.05
-1.2130964249372482,0.8747228381374723,53.01255302451893,4,0.05
-1.3809976816177367,0.8991130820399114,53.02660516765401,4,0.05
-1.6032546192407606,0.9246119733924612,53.033041751374085,4,0.05
-1.677754318714142,0.9490022172949002,53.04340889639529,4,0.05
-1.8883097648620606,0.9745011086474501,53.05004789970635,4,0.05
-3.481796979904175,1.0,53.080194729215826,4,0.05
0.8318957805633544,0.1008869179600887,52.87977852644412,4,0.1
0.6239913105964661,0.15077605321507762,52.881724842683866,4,0.1
0.6871657967567444,0.12527716186252771,52.882341339973635,4,0.1
0.48157746195793166,0.2006651884700665,52.88579381437263,4,0.1
0.5658580526709558,0.17516629711751663,52.885872837499456,4,0.1
0.3199763745069504,0.25055432372505543,52.88795341766585,4,0.1
0.4029590129852293,0.22505543237250555,52.88847279294059,4,0.1
0.27032680958509453,0.2749445676274945,52.89422680775123,4,0.1
0.2417582198977471,0.3004434589800443,52.89740255201099,4,0.1
0.17114531472325323,0.35033259423503327,52.90167504122794,4,0.1
0.2023764003068209,0.32483370288248337,52.902254861988176,4,0.1
0.14094452001154423,0.37472283813747226,52.90543659629009,4,0.1
0.09259054660797178,0.40022172949002216,52.90940129797507,4,0.1
1.9253427684307123,0.050997782705099776,52.91085948488675,4,0.1
0.05433522127568725,0.4246119733924612,52.91275129146963,4,0.1
0.030943229794502303,0.4501108647450111,52.91544514508186,4,0.1
1.148261252045632,0.07538802660753881,52.91757269463831,4,0.1
-0.012595504522323489,0.4745011086474501,52.91862255776241,4,0.1
-0.09349567815661418,0.5254988913525499,52.92404867409734,4,0.1
-0.05469416826963425,0.5,52.92517155478872,4,0.1
-0.13535747528076175,0.549889135254989,52.92868799874373,4,0.1
-0.19111669957637786,0.5753880266075388,52.93364840479752,4,0.1
-0.2571119785308838,0.5997782705099778,52.93714454627111,4,0.1
-0.29664308950304985,0.6252771618625277,52.94159456324814,4,0.1
-0.35866084098815915,0.6496674057649667,52.94412243978156,4,0.1
-0.584064394235611,0.7250554323725056,52.94929960329767,4,0.1
-0.43272381573915486,0.6751662971175166,52.95148774378669,4,0.1
-0.5195657610893247,0.6995565410199557,52.951542611522925,4,0.1
-0.6593554615974426,0.7494456762749445,52.95410087979778,4,0.1
-0.7670373618602753,0.7749445676274944,52.958444128190855,4,0.1
-0.8592796802520752,0.7993348115299335,52.96614771324336,4,0.1
-0.9397703856229782,0.8248337028824834,52.976473887028234,4,0.1
-1.033504271507263,0.8492239467849224,52.98081488693413,4,0.1
-1.0677984952926636,0.8747228381374723,52.986437820455805,4,0.1
-1.1323329091072083,0.8991130820399114,52.99378511156678,4,0.1
-1.2404410272836683,0.9246119733924612,52.998505863793994,4,0.1
-1.462937420606613,0.9490022172949002,53.00453846832216,4,0.1
-1.6270646661520003,0.9745011086474501,53.01015676833711,4,0.1
-3.0242702960968018,1.0,53.028743568842884,4,0.1
0.885337996482849,0.1008869179600887,52.86436095603129,4,0.2
0.6466413587331772,0.12527716186252771,52.87054906884077,4,0.2
0.45310486555099494,0.2006651884700665,52.87436960299098,4,0.2
0.40647795349359506,0.22505543237250555,52.874908388055594,4,0.2
0.5378330379724505,0.15077605321507762,52.87550840136256,4,0.2
0.4953513160347939,0.17516629711751663,52.87674743440412,4,0.2
0.35773275792598724,0.25055432372505543,52.87947454997958,4,0.2
0.3104239515960224,0.2749445676274945,52.88060973609282,4,0.2
0.25887945592403416,0.3004434589800443,52.88266307968918,4,0.2
0.22303384318947816,0.32483370288248337,52.88460028086268,4,0.2
0.1908221498131752,0.35033259423503327,52.8925026414239,4,0.2
0.13739543259143838,0.40022172949002216,52.89770228798114,4,0.2
0.16874808818101883,0.37472283813747226,52.89830732063774,4,0.2
0.1100246625021101,0.4246119733924612,52.89889133152722,4,0.2
0.09082450568675997,0.4501108647450111,52.90081503780235,4,0.2
0.05836019590497026,0.4745011086474501,52.90785488611642,4,0.2
1.922824466228488,0.050997782705099776,52.91171988633877,4,0.2
1.1971580117940976,0.07538802660753881,52.91326753914485,4,0.2
0.020351357758045197,0.5,52.91408248909748,4,0.2
-0.035617049038410176,0.5254988913525499,52.92078904848039,4,0.2
-0.1234771035611628,0.5753880266075388,52.92126558159513,4,0.2
-0.16800301671028134,0.5997782705099778,52.92345301540596,4,0.2
-0.08199946731328965,0.549889135254989,52.92555665445978,4,0.2
-0.2321460247039795,0.6252771618625277,52.92648408992462,4,0.2
-0.2792493224143981,0.6496674057649667,52.930685521973516,4,0.2
-0.34355989545583726,0.6751662971175166,52.936719555596085,4,0.2
-0.42011784911155653,0.6995565410199557,52.94300135044967,4,0.2
-0.49539771974086744,0.7250554323725056,52.94400376578817,4,0.2
-0.5739249587059021,0.7494456762749445,52.947114601276816,4,0.2
-0.6604463011026382,0.7749445676274944,52.94972247780963,4,0.2
-0.7440468311309814,0.7993348115299335,52.955299655189016,4,0.2
-0.8481413275003432,0.8248337028824834,52.96283572532086,4,0.2
-0.9250757932662962,0.8492239467849224,52.96644984486534,4,0.2
-1.0372947603464127,0.8747228381374723,52.97187483072642,4,0.2
-1.112969946861267,0.8991130820399114,52.9774582651269,4,0.2
-1.208177399635315,0.9246119733924612,52.98083610776382,4,0.2
-1.4386951625347137,0.9490022172949002,52.989807091655294,4,0.2
-1.6807372570037842,0.975609756097561,52.994674158974874,4,0.2
-2.589590311050415,1.0,53.004448150013154,4,0.2
0.711354547739029,0.17516629711751663,52.844560133031166,8,0.05
0.7919256716966632,0.15077605321507762,52.844692717149535,8,0.05
0.8574432730674744,0.12527716186252771,52.84495830592792,8,0.05
0.968117135763168,0.1008869179600887,52.845210108446516,8,0.05
0.5888716936111453,0.2006651884700665,52.84819739675661,8,0.05
0.4760580807924269,0.22505543237250555,52.85151650602524,8,0.05
0.36535222828388214,0.25055432372505543,52.85424297005252,8,0.05
1.9949729025363923,0.050997782705099776,52.85625540467883,8,0.05
0.30727067887783066,0.2749445676274945,52.858226228415035,8,0.05
0.18847409337759025,0.32483370288248337,52.861244184061235,8,0.05
0.24013639092445385,0.3004434589800443,52.86153775220447,8,0.05
0.15320497378706927,0.35033259423503327,52.86498146624975,8,0.05
0.039667756855487825,0.4246119733924612,52.86956445976099,8,0.05
0.12521382234990597,0.37472283813747226,52.869770734654914,8,0.05
0.011033271253108993,0.4501108647450111,52.87127759172517,8,0.05
1.261050751805306,0.07538802660753881,52.87253664358854,8,0.05
0.08553800284862534,0.40022172949002216,52.87401954910795,8,0.05
-0.02846731394529341,0.4745011086474501,52.87449407160756,8,0.05
-0.0853010043501854,0.5,52.8806337233228,8,0.05
-0.1168613791465759,0.5254988913525499,52.88503187095962,8,0.05
-0.1724985629320145,0.549889135254989,52.88853209895532,8,0.05
-0.21480303704738613,0.5753880266075388,52.89119595399076,8,0.05
-0.4171101689338684,0.6496674057649667,52.89629376294019,8,0.05
-0.33108679205179214,0.6252771618625277,52.89777922650754,8,0.05
-0.2809088349342346,0.5997782705099778,52.89860262185484,8,0.05
-0.510765027999878,0.6751662971175166,52.90062720512378,8,0.05
-0.6384770810604093,0.6995565410199557,52.904535928841106,8,0.05
-0.750562061369419,0.7250554323725056,52.90557957777772,8,0.05
-0.857070118188858,0.7494456762749445,52.9098373927106,8,0.05
-0.9630934715270997,0.7749445676274944,52.91699776509149,8,0.05
-1.0897296428680419,0.7993348115299335,52.92484364463228,8,0.05
-1.179065328836441,0.8248337028824834,52.933896706820775,8,0.05
-1.2698766648769377,0.8492239467849224,52.94323927786172,8,0.05
-1.2967436164617538,0.8747228381374723,52.95277255871282,8,0.05
-1.4395960688591,0.8991130820399114,52.96260103747572,8,0.05
-1.564496397972107,0.9279379157427938,52.96848419821718,8,0.05
-1.8696838021278381,0.9490022172949002,52.976156942007705,8,0.05
-2.0633087873458864,0.9745011086474501,52.99047577658885,8,0.05
