k,temperature,threshold,macro_mse,patchtst_macro_mse,macro_relative_mse_reduction,macro_coverage,datasets_improved
4.0,0.05,0.7014666378498083,182.25108152990785,183.36848133089072,0.00609373973581917,0.1701388888888889,5.0
4.0,0.1,0.8318957805633544,182.25056935780162,183.36848133089072,0.006096532866364357,0.12534722222222222,4.0
4.0,0.2,0.885337996482849,182.23642420567822,183.36848133089072,0.006173673452471329,0.11996527777777777,4.0
8.0,0.05,0.711354547739029,182.18882042678624,183.36848133089072,0.006433280657299867,0.20173611111111112,7.0
8.0,0.1,0.9474343180656433,182.17210693324026,183.36848133089072,0.006524427693173629,0.13003472222222223,6.0
8.0,0.2,1.0205515921115869,182.14884110187327,183.36848133089072,0.006651307902891923,0.12135416666666665,6.0
16.0,0.05,0.7899509280920028,182.19828644408798,183.36848133089072,0.006381657732612789,0.17725694444444445,6.0
16.0,0.1,1.0885783433914182,182.19030328803805,183.36848133089072,0.006425193873567769,0.1234375,6.0
16.0,0.2,1.14471595287323,182.1982978368064,183.36848133089072,0.006381595602423684,0.11996527777777777,6.0
